element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
439,8,11,0,True,2021-04-12T17:00:00Z,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
439,11,16,0,False,2021-04-18T13:00:00Z,0.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
439,20,8,0,True,2021-04-25T13:00:00Z,1.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,25,3,0,False,2021-05-01T13:00:00Z,1.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,34,5,0,False,2021-05-08T15:30:00Z,2.0,2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,44,4,0,True,2021-05-12T16:30:00Z,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,53,1,0,False,2021-05-17T16:30:00Z,3.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,1,1
439,62,2,0,True,2021-05-23T13:00:00Z,2.0,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,72,13,0,False,2021-07-04T13:00:00Z,1.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,77,6,0,True,2021-07-12T17:00:00Z,2.0,3.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,81,12,0,False,2021-07-18T15:30:00Z,2.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,92,7,0,True,2021-07-25T13:00:00Z,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,102,14,0,True,2021-08-01T15:30:00Z,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,110,9,0,False,2021-08-09T17:00:00Z,1.0,2.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,116,15,0,True,2021-08-14T15:30:00Z,1.0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
439,128,11,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0
